Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2924.017738212866,0.01297216858704125,11.2646561283704,-68.35690027719511
3094.851412912785,0.003932661706287476,10.91260115458466,-70.12563476041475
3275.665924606298,0.01670816425836453,10.5264612086296,-72.02830321889377
3467.044396657504,0.01283273055543459,10.16350698865329,-73.5584192580427
3669.604021001906,0.02621791227352703,9.765671963755024,-75.32134259204078
3883.998048578666,0.005238358137069622,9.38285717884278,-76.93108680010459
4110.91789605249,0.05580477719845205,8.92872919956943,-78.56959543761917
4351.095375619197,0.03329186341306251,8.551519547277813,-80.41974515483095
4605.305055086172,0.06374151744039142,8.118814755537,-82.0634470255187
4874.36675583883,0.08093305296525555,7.674849184966539,-83.64900518027562
5159.148196748966,0.04739546669014494,7.313395246356366,-85.27514283143591
5460.567792551683,0.07832472260606931,6.843605791322792,-87.41209820756305
5779.597615715405,0.05885758897564541,6.418743085695518,-88.94359517991847
6117.266531357141,0.05876719050052243,6.007881034200924,-90.61521278647177
6474.663515312955,0.07179270175717059,5.555241895329601,-92.39782191593794
6852.941166064297,0.07635434275703203,5.109022906896214,-93.82939488274928
7253.319421846229,0.08051457406649766,4.612778572031075,-95.93390226373049
7677.08949492507,0.01862597889434113,4.264740964613129,-97.69154485475897
8125.618035733363,0.04306941212469842,3.794634128847061,-99.56960332219732
8600.351540291613,0.0904124883513264,3.345754509169133,-101.7144665781036
9102.821015130405,0.08100162064468691,2.840533364427997,-103.0907401621821
9634.646914757404,0.05504636236939964,2.350132106726139,-104.9765157456785
10197.54436759236,0.04240032649439059,1.955476913886143,-107.3965330797874
10793.32870722362,0.05137696479061463,1.498274334176386,-109.4896325020773
11423.92132682452,-0.01744328624799941,1.114831922793743,-111.8121551524843
12091.35587560979,0.0415338180274272,0.5574453209848406,-113.8760650793588
12797.78481731564,0.09394840600412667,0.04606359731106671,-115.6690779535251
13545.48637185448,0.003104717304637252,-0.2948869447543248,-118.4959862305161
14336.87186253071,-0.007177990975572043,-0.6953218329898724,-121.3412351763135
15174.49349251265,0.03087999993002248,-1.272004191710647,-123.0705946550794
16061.05257563926,0.03085243294906849,-1.86834524600454,-125.3177115868092
16999.40824810587,0.02737314549377621,-2.69220386136949,-125.4434544916116
17992.58668912415,0.001378450847522961,-2.746483598077023,-130.3685740993336
19043.7908802925,-0.0436785862166355,-3.122331429551104,-135.3956239128776
20156.41093515083,-0.01109789762066738,-3.480915166377527,-138.7715354219388
21334.03503223242,0.006266679284872085,-4.126901765238707,-141.8089890271767
22580.46098687132,0.03616816634641679,-4.654071169782235,-143.2980598834795
23899.7084990848,-0.01458209888475931,-0.7325105141254056,-160.9258894590026
25296.0321170294,-0.02986572675312836,-2.437291045030992,-108.2516270258704
26773.9349578379,0.007237886765200692,-11.63311326664638,-137.5331082218326
28338.18323008663,-0.02129481511317954,-5.519070496326748,-155.8487755437657
29993.82160472731,-0.01303498694391411,-6.976820262964284,-164.6241429685437
31746.18948405528,-0.04425474243903515,-7.275413440496105,-169.2443210626641
33600.93822118018,-0.04202987728584275,-7.917122261446906,-165.2877299005278
35564.04934553248,-0.08893970031868359,-8.503242014197976,175.4462961421013
37641.85385318225,-0.005230838191329841,-8.80924036276696,177.0610757876346
39841.05262418107,-0.1701312333664001,-9.27290437318694,168.554843482747
42168.73803277285,0.02842652534897547,-11.07409793294224,156.1187025975989
44632.41682016619,-0.1852549956060417,-11.22839714310758,-111.9730681973764
47240.03430363178,-0.06558847712463059,-1.262837045377247,-63.75137422236134
50000,-0.01655170404761266,1.808041897561512,62.71732754669288
