,Time (s),Channel 1 (V),Channel 2 (V)
5941,0.001162791,0.3827925806763559,0.38875558638273344
5942,0.001163421,0.3864835279133976,0.38772640889786286
5943,0.001164051,0.3864835279133976,0.3860111130897452
5944,0.001164681,0.3827925806763559,0.3845245233893766
5945,0.001165311,0.3827925806763559,0.38326663979675696
5946,0.001165941,0.3827925806763559,0.3822374623118863
5947,0.001166571,0.3791016334393142,0.3814369909347648
5948,0.001167201,0.3791016334393142,0.38063651955764316
5949,0.001167831,0.3791016334393142,0.3798360481805215
5950,0.001168461,0.3791016334393142,0.37914992985727447
5951,0.001169091,0.3754106862022726,0.3788068706956509
5952,0.001169721,0.3754106862022726,0.3785781645879019
5953,0.001170351,0.3791016334393142,0.37846381153402736
5954,0.001170981,0.3754106862022726,0.37880687069565083
5955,0.001171611,0.3791016334393142,0.37926428291114883
5956,0.001172241,0.3791016334393142,0.37995040123439583
5957,0.001172871,0.3827925806763559,0.38075087261151747
5958,0.001173501,0.3791016334393142,0.3817800500963881
5959,0.001174131,0.3791016334393142,0.3829235806351332
5960,0.001174761,0.3791016334393142,0.38395275812000373
5961,0.001175391,0.3827925806763559,0.38498193560487437
5962,0.001176021,0.3791016334393142,0.38623981919749406
5963,0.001176651,0.3754106862022726,0.3870402905746156
5964,0.001177281,0.3754106862022726,0.38784076195173717
5965,0.001177911,0.3754106862022726,0.3887555863827332
5966,0.001178541,0.3754106862022726,0.3896704108137293
5967,0.001179171,0.3754106862022726,0.39047088219085085
5968,0.001179801,0.3791016334393142,0.39150005967572143
5969,0.001180431,0.3791016334393142,0.39264359021446654
5970,0.001181061,0.3827925806763559,0.39378712075321165
5971,0.001181691,0.3791016334393142,0.3947019451842077
5972,0.001182321,0.3791016334393142,0.39538806350745476
5973,0.001182951,0.3791016334393142,0.3947019451842077
5974,0.001183581,0.3791016334393142,0.39321535548383907
5975,0.001184211,0.3754106862022726,0.39138570662184696
5976,0.001184841,0.3827925806763559,0.3895560577598548
5977,0.001185471,0.3864835279133976,0.3879551150056117
5978,0.001186101,0.3864835279133976,0.38681158446686653
5979,0.001186731,0.3827925806763559,0.3856680539281214
5980,0.001187361,0.3754106862022726,0.3848675825509999
5981,0.001187991,0.3791016334393142,0.38429581728162737
5982,0.001188621,0.3754106862022726,0.38395275812000385
5983,0.001189251,0.3754106862022726,0.38372405201225485
5984,0.001189881,0.3791016334393142,0.38372405201225485
5985,0.001190511,0.3791016334393142,0.38395275812000385
5986,0.001191141,0.3791016334393142,0.384410170335502
5987,0.001191771,0.3791016334393142,0.3847532294971256
5988,0.001192401,0.3791016334393142,0.38532499476649806
5989,0.001193031,0.3754106862022726,0.3860111130897451
5990,0.001193661,0.3791016334393142,0.3866972314129921
5991,0.001194291,0.371719738965231,0.3877264088978627
5992,0.001194921,0.3754106862022726,0.3880694680594863
5993,0.001195551,0.3791016334393142,0.3890986455443569
5994,0.001196181,0.3827925806763559,0.3898991169214785
5995,0.001196811,0.3864835279133976,0.39069958829860013
5996,0.001197441,0.3827925806763559,0.3913857066218472
5997,0.001198071,0.3827925806763559,0.39207182494509424
5998,0.001198701,0.3791016334393142,0.3926435902144668
5999,0.001199331,0.3791016334393142,0.3934440615915884
6000,0.001199961,0.3791016334393142,0.39424453296871
6001,0.001200591,0.3791016334393142,0.39493065129195704
6002,0.001201221,0.3827925806763559,0.3955024165613296
6003,0.001201851,0.3827925806763559,0.39618853488457667
6004,0.001202481,0.3827925806763559,0.39607418183070214
6005,0.001203111,0.3791016334393142,0.39481629823808256
6006,0.001203741,0.3791016334393142,0.3928722963222159
6007,0.001204371,0.3791016334393142,0.39115700051409824
6008,0.001205001,0.3791016334393142,0.3896704108137296
6009,0.001205631,0.3827925806763559,0.3885268802749845
6010,0.001206261,0.3791016334393142,0.38715464362849045
6011,0.001206891,0.3791016334393142,0.38623981919749434
6012,0.001207521,0.3791016334393142,0.3855537008742473
6013,0.001208151,0.3791016334393142,0.38521064171262376
6014,0.001208781,0.3754106862022726,0.38498193560487476
6015,0.001209411,0.3754106862022726,0.38498193560487476
6016,0.001210041,0.3754106862022726,0.38498193560487476
6017,0.001210671,0.3791016334393142,0.38532499476649834
6018,0.001211301,0.3754106862022726,0.38555370087424734
6019,0.001211931,0.3754106862022726,0.38612546614361987
6020,0.001212561,0.371719738965231,0.3869259375207415
6021,0.001213191,0.371719738965231,0.38784076195173756
6022,0.001213821,0.3754106862022726,0.38909864554435725
6023,0.001214451,0.3791016334393142,0.39012782302922777
6024,0.001215081,0.3791016334393142,0.39115700051409835
6025,0.001215711,0.3791016334393142,0.39230053105284335
6026,0.001216341,0.3791016334393142,0.3931010024299648
6027,0.001216971,0.3791016334393142,0.39390147380708634
6028,0.001217601,0.3754106862022726,0.3949306512919569
6029,0.001218231,0.3754106862022726,0.3957311226690785
6030,0.001218861,0.3754106862022726,0.39641724099232556
6031,0.001219491,0.3791016334393142,0.3971033593155726
6032,0.001220121,0.3791016334393142,0.39778947763881967
6033,0.001220751,0.3791016334393142,0.3984755959620667
6034,0.001221381,0.3827925806763559,0.39927606733918825
6035,0.001222011,0.3791016334393142,0.4000765387163098
6036,0.001222641,0.3791016334393142,0.39904736123143925
6037,0.001223271,0.3827925806763559,0.3972177123694471
