#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2024-04-26 10:51:56.575
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.000566181,-0.5177985451618079,-9.831322102638536
0.0005668110000000001,-0.5214894923988496,-9.791069827674708
0.000567441,-0.5251804396358912,-9.739839659538928
0.0005680710000000001,-0.5214894923988496,-9.695928086851117
0.000568701,-0.5251804396358912,-9.652016514163304
0.0005693310000000001,-0.5214894923988496,-9.673972300507211
0.000569961,-0.5177985451618079,-9.772773339054787
0.0005705910000000001,-0.5214894923988496,-9.900848759394238
0.000571221,-0.5214894923988496,-10.02160558428572
0.0005718510000000001,-0.5214894923988496,-10.12406592055728
0.000572481,-0.5214894923988496,-10.21920766138087
0.0005731110000000001,-0.5214894923988496,-10.28873431813657
0.000573741,-0.5214894923988496,-10.35460167716829
0.0005743710000000001,-0.5214894923988496,-10.40949114302806
0.000575001,-0.5251804396358912,-10.45340271571587
0.0005756310000000001,-0.5288713868729329,-10.48633639523173
0.000576261,-0.5288713868729329,-10.50097358612766
0.0005768910000000001,-0.5251804396358912,-10.50463288385165
0.000577521,-0.5251804396358912,-10.48633639523173
0.0005781510000000001,-0.5288713868729329,-10.46803990661181
0.000578781,-0.5288713868729329,-10.42412833392399
0.0005794110000000001,-0.5251804396358912,-10.38021676123618
0.000580041,-0.5214894923988496,-10.3289865931004
0.0005806710000000001,-0.5251804396358912,-10.2594599363447
0.000581301,-0.5325623341099746,-10.20457047048493
0.000581931,-0.5325623341099746,-10.1423624091772
0.000582561,-0.5288713868729329,-10.09113224104142
0.000583191,-0.5251804396358912,-10.04356137062963
0.000583821,-0.5251804396358912,-9.995990500217829
0.000584451,-0.5214894923988496,-9.948419629806034
0.000585081,-0.5214894923988496,-9.900848759394238
0.000585711,-0.5177985451618079,-9.86059648443041
0.000586341,-0.5177985451618079,-9.813025614018613
0.000586971,-0.5214894923988496,-9.765454743606819
0.000587601,-0.5214894923988496,-9.721543170919006
0.000588231,-0.5214894923988496,-9.673972300507211
0.000588861,-0.5141075979247662,-9.652016514163304
0.000589491,-0.5104166506877246,-9.710565277747053
0.000590121,-0.5104166506877246,-9.831322102638536
0.000590751,-0.5141075979247662,-9.96305682070197
0.000591381,-0.5177985451618079,-10.0728357524215
0.000592011,-0.5214894923988496,-10.17163679096908
0.0005926410000000001,-0.5288713868729329,-10.25214134089673
0.000593271,-0.5251804396358912,-10.32166799765243
0.0005939010000000001,-0.5288713868729329,-10.38753535668415
0.000594531,-0.5251804396358912,-10.43876552481993
0.0005951610000000001,-0.5251804396358912,-10.47535850205977
0.000595791,-0.5214894923988496,-10.4936549906797
0.0005964210000000001,-0.5251804396358912,-10.50097358612766
0.000597051,-0.5288713868729329,-10.50097358612766
0.0005976810000000001,-0.5214894923988496,-10.47901779978376
0.000598311,-0.5214894923988496,-10.4460841202679
0.0005989410000000001,-0.5177985451618079,-10.41315044075204
0.000599571,-0.5251804396358912,-10.35826097489228
0.0006002010000000001,-0.5251804396358912,-10.30337150903251
0.000600831,-0.5214894923988496,-10.24116344772478
0.0006014610000000001,-0.5214894923988496,-10.17529608869306
0.000602091,-0.5177985451618079,-10.12406592055728
0.0006027210000000001,-0.5177985451618079,-10.06917645469752
0.000603351,-0.5214894923988496,-10.0252648820097
0.0006039810000000001,-0.5214894923988496,-9.977694011597908
0.000604611,-0.5214894923988496,-9.933782438910097
0.0006052410000000001,-0.5214894923988496,-9.882552270774315
0.000605871,-0.5251804396358912,-9.838640698086504
0.0006065010000000001,-0.5214894923988496,-9.794729125398693
0.000607131,-0.5177985451618079,-9.750817552710881
0.0006077610000000001,-0.5141075979247662,-9.6995873845751
0.000608391,-0.5141075979247662,-9.652016514163304
0.0006090210000000001,-0.5177985451618079,-9.688609491403147
0.000609651,-0.5177985451618079,-9.78375123222674
0.0006102810000000001,-0.5177985451618079,-9.915485950290174
0.000610911,-0.5177985451618079,-10.03258347745767
0.0006115410000000001,-0.5141075979247662,-10.13870311145322
0.000612171,-0.5177985451618079,-10.22652625682884
0.0006128010000000001,-0.5214894923988496,-10.30337150903251
0.000613431,-0.5251804396358912,-10.37289816578821
0.0006140610000000001,-0.5214894923988496,-10.42778763164798
0.000614691,-0.5214894923988496,-10.46803990661181
0.0006153210000000001,-0.5177985451618079,-10.4936549906797
0.000615951,-0.5177985451618079,-10.50829218157563
0.0006165810000000001,-0.5214894923988496,-10.50829218157563
0.000617211,-0.5214894923988496,-10.49731428840368
0.000617841,-0.5214894923988496,-10.47535850205977
0.000618471,-0.5177985451618079,-10.4460841202679
0.000619101,-0.5251804396358912,-10.3985132498561
0.000619731,-0.5288713868729329,-10.33996448627235
0.000620361,-0.5288713868729329,-10.27043782951665
0.000620991,-0.5177985451618079,-10.20822976820892
0.000621621,-0.5177985451618079,-10.14968100462517
0.000622251,-0.5141075979247662,-10.10576943193736
0.000622881,-0.5141075979247662,-10.05819856152556
0.000623511,-0.5177985451618079,-10.01062769111377
0.000624141,-0.5141075979247662,-9.955738225254002
0.000624771,-0.5141075979247662,-9.911826652566191
0.000625401,-0.5104166506877246,-9.864255782154395
0.000626031,-0.5104166506877246,-9.820344209466583
0.000626661,-0.5177985451618079,-9.776432636778772
0.0006272910000000001,-0.5177985451618079,-9.732521064090959
0.000627921,-0.5141075979247662,-9.688609491403147
0.0006285510000000001,-0.5104166506877246,-9.673972300507211
0.000629181,-0.5141075979247662,-9.736180361814943
0.0006298110000000001,-0.5104166506877246,-9.856937186706427
0.000630441,-0.5141075979247662,-9.988671904769861
0.0006310710000000001,-0.5141075979247662,-10.09479153876541
0.000631701,-0.5177985451618079,-10.189933279589
0.0006323310000000001,-0.5177985451618079,-10.27775642496462
0.000632961,-0.5214894923988496,-10.35094237944431
0.0006335910000000001,-0.5177985451618079,-10.40949114302806
0.000634221,-0.5214894923988496,-10.45706201343985
0.0006348510000000001,-0.5214894923988496,-10.48999569295571
0.000635481,-0.5214894923988496,-10.51195147929962
0.0006361110000000001,-0.5214894923988496,-10.5156107770236
0.000636741,-0.5141075979247662,-10.5156107770236
0.0006373710000000001,-0.5177985451618079,-10.49731428840368
0.000638001,-0.5214894923988496,-10.46438060888782
0.0006386310000000001,-0.5251804396358912,-10.42046903620001
0.000639261,-0.5251804396358912,-10.37289816578821
0.0006398910000000001,-0.5214894923988496,-10.31069010448048
0.000640521,-0.5141075979247662,-10.24848204317275
0.0006411510000000001,-0.5141075979247662,-10.18627398186501
0.000641781,-0.5141075979247662,-10.13138451600525
0.0006424110000000001,-0.5177985451618079,-10.08015434786947
0.000643041,-0.5177985451618079,-10.03624277518166
0.0006436710000000001,-0.5141075979247662,-9.992331202493846
0.000644301,-0.5141075979247662,-9.944760332082049
0.0006449310000000001,-0.5141075979247662,-9.897189461670253
0.000645561,-0.5141075979247662,-9.845959293534474
0.0006461910000000001,-0.5177985451618079,-9.802047720846661
0.000646821,-0.5141075979247662,-9.754476850434866
0.0006474510000000001,-0.5177985451618079,-9.717883873195023
0.000648081,-0.5141075979247662,-9.670313002783226
0.0006487110000000001,-0.5141075979247662,-9.710565277747053
0.000649341,-0.5141075979247662,-9.805707018570645
